"","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","d12","d13","d14","d15","d16","class"
"5107",6,11,9,8,7,9,8,2,5,13,5,5,3,9,4,9,"P"
"5108",6,8,8,6,6,7,7,2,8,11,5,9,3,8,4,9,"E"
"5109",4,8,5,6,3,7,5,2,0,7,1,8,2,7,1,8,"A"
"5110",7,9,7,6,3,4,10,2,8,10,11,5,2,13,4,3,"Y"
"5111",5,9,8,6,6,7,10,2,3,7,9,8,8,11,1,8,"W"
"5112",8,13,8,7,4,9,7,3,7,9,3,6,5,8,4,8,"K"
"5113",5,9,7,8,7,6,7,6,7,7,6,9,5,5,7,4,"D"
"5114",0,0,1,0,0,5,10,6,1,9,6,5,1,9,2,8,"P"
"5115",2,2,3,3,2,6,8,7,7,8,7,13,1,9,4,10,"C"
"5116",3,7,5,4,1,8,11,2,2,5,12,8,1,11,0,8,"Y"
"5117",2,5,3,3,1,9,6,3,6,12,4,9,1,6,1,7,"J"
"5118",6,11,8,9,6,7,7,8,6,6,6,13,6,8,5,7,"C"
"5119",5,9,5,10,6,8,6,7,5,9,6,9,3,8,6,8,"Q"
"5120",3,5,5,4,3,9,6,4,7,9,4,6,2,8,3,8,"D"
"5121",5,12,4,6,2,11,5,3,6,12,3,7,2,9,4,11,"I"
"5122",4,7,5,5,3,5,8,5,5,9,9,8,2,8,4,9,"G"
"5123",6,9,8,7,8,7,7,5,5,6,7,8,9,7,3,7,"M"
"5124",4,9,6,6,2,8,3,3,3,7,2,8,3,6,3,8,"A"
"5125",2,8,2,6,2,7,7,0,7,7,6,8,0,8,3,8,"I"
"5126",6,7,8,6,7,7,8,5,3,7,7,8,9,10,9,7,"G"
"5127",4,7,5,9,5,9,7,7,3,5,7,10,3,8,7,10,"Q"
"5128",4,8,4,6,4,6,7,9,7,7,7,6,2,8,3,8,"D"
"5129",3,8,5,6,7,10,8,4,5,7,6,6,4,7,7,4,"D"
"5130",4,9,6,7,6,7,7,8,6,6,5,5,3,9,4,8,"D"
"5131",3,3,3,2,1,6,11,2,7,11,9,5,1,10,2,5,"T"
"5132",2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,8,"Z"
"5133",3,9,4,6,3,6,7,11,9,7,6,6,3,8,4,8,"D"
"5134",6,10,9,8,7,10,6,2,5,9,4,7,8,6,2,8,"M"
"5135",2,1,3,2,2,7,7,5,8,6,6,9,2,8,7,8,"Z"
"5136",5,8,6,6,3,5,7,6,6,10,8,10,2,8,5,9,"G"
"5137",3,2,4,3,2,7,7,6,7,6,6,5,2,8,3,7,"D"
"5138",5,10,7,8,6,10,6,1,6,10,3,8,4,9,4,11,"K"
"5139",6,10,8,8,6,8,7,2,9,12,5,8,1,8,6,8,"Z"
"5140",6,10,6,8,4,4,7,6,6,13,10,12,2,11,3,7,"C"
"5141",6,11,9,8,7,6,6,1,6,9,6,10,5,7,5,8,"K"
"5142",4,9,5,6,4,8,6,7,3,10,4,8,3,8,3,7,"O"
"5143",5,5,7,4,5,8,6,6,5,7,7,8,8,6,2,8,"M"
"5144",4,5,4,6,3,5,11,8,4,7,3,9,3,7,6,11,"R"
"5145",4,10,6,7,4,5,8,7,7,8,10,10,3,9,1,8,"U"
"5146",7,13,6,7,4,10,3,4,7,10,4,9,3,9,6,13,"Q"
"5147",4,9,6,7,4,8,6,9,3,6,5,7,3,8,4,9,"O"
"5148",3,5,4,3,2,5,8,4,7,10,8,9,3,9,2,6,"U"
"5149",3,7,5,5,4,6,7,6,4,6,5,8,3,7,6,11,"H"
"5150",2,3,4,4,1,7,5,3,1,6,1,8,2,7,2,7,"A"
"5151",5,10,7,8,4,11,8,5,2,6,9,8,8,10,0,8,"W"
"5152",2,3,4,2,1,5,11,3,5,13,7,4,1,9,1,7,"F"
"5153",5,5,6,3,2,4,8,5,8,10,10,9,3,9,2,5,"U"
"5154",1,0,1,0,0,7,6,10,4,7,11,8,3,10,0,8,"U"
"5155",5,9,6,7,3,7,7,3,6,15,6,10,1,6,1,7,"J"
"5156",3,3,4,5,2,8,6,5,9,5,6,8,0,9,9,8,"S"
"5157",2,0,3,1,1,7,8,4,0,7,8,8,7,9,0,8,"W"
"5158",2,2,3,2,2,8,8,5,2,8,7,9,2,9,3,8,"Q"
"5159",3,9,5,7,3,13,2,4,4,12,1,9,3,6,3,10,"A"
"5160",6,7,7,5,4,3,8,5,7,10,9,10,3,9,2,5,"U"
"5161",3,3,4,5,2,8,7,8,7,6,6,10,2,7,5,11,"G"
"5162",4,7,5,6,3,8,7,8,6,6,7,9,3,8,5,9,"Q"
"5163",6,11,8,8,8,9,7,3,6,9,4,6,3,8,5,9,"B"
"5164",5,8,7,6,4,5,9,4,10,12,10,8,2,8,5,3,"E"
"5165",5,7,7,5,4,6,7,4,9,12,8,9,2,8,5,7,"E"
"5166",6,10,6,8,4,7,7,12,2,7,9,8,9,6,0,8,"M"
"5167",4,9,4,7,2,3,7,6,11,7,7,15,0,8,7,7,"E"
"5168",4,11,6,8,3,7,7,0,8,14,6,8,0,8,1,8,"I"
"5169",2,4,4,3,2,9,7,4,6,10,4,6,2,8,3,8,"D"
"5170",4,5,5,4,3,7,11,3,2,6,9,8,7,11,0,8,"W"
"5171",0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,"I"
"5172",8,12,7,6,4,9,7,4,7,12,4,6,2,8,8,8,"F"
"5173",4,5,6,4,5,8,9,5,7,7,7,8,3,10,7,7,"T"
"5174",7,11,8,8,6,6,6,7,7,9,8,11,2,11,5,9,"G"
"5175",7,11,8,6,5,6,9,3,5,10,6,8,6,7,5,7,"H"
"5176",4,10,6,8,7,8,7,5,6,7,6,6,3,8,4,7,"H"
"5177",5,6,6,7,6,6,12,3,5,9,7,6,4,9,5,6,"F"
"5178",4,10,5,8,3,7,7,14,2,4,6,8,6,8,0,8,"N"
"5179",4,7,4,5,2,5,9,6,7,12,9,9,2,10,2,7,"C"
"5180",4,5,6,3,3,7,7,1,9,10,6,8,2,8,3,7,"X"
"5181",3,7,4,5,3,5,11,5,4,11,8,4,1,10,4,7,"P"
"5182",3,8,4,6,2,7,7,14,2,5,6,8,6,8,0,8,"N"
"5183",4,8,5,6,5,8,8,6,5,9,5,5,3,8,3,7,"D"
"5184",6,11,8,8,8,9,7,8,5,6,7,9,6,8,4,6,"U"
"5185",6,6,8,8,9,7,9,3,3,8,8,6,6,11,6,5,"P"
"5186",0,0,1,0,0,6,7,6,4,7,6,8,1,8,5,10,"B"
"5187",4,7,7,5,3,5,9,2,8,10,10,8,3,8,4,6,"X"
"5188",3,5,4,7,1,10,14,1,6,4,11,9,0,8,0,8,"T"
"5189",3,10,5,8,5,8,6,8,4,6,5,6,3,8,3,7,"O"
"5190",4,7,5,5,4,9,9,6,4,7,5,8,3,9,10,7,"Z"
"5191",1,1,2,1,0,7,14,1,5,7,11,8,0,8,0,8,"T"
"5192",3,4,4,2,2,6,11,3,2,8,7,7,6,11,1,6,"W"
"5193",7,9,6,4,2,4,12,3,7,13,8,4,2,8,3,4,"T"
"5194",2,6,3,4,1,7,12,0,5,7,10,8,0,8,0,8,"T"
"5195",5,11,5,6,4,9,4,5,3,10,6,12,7,4,6,10,"A"
"5196",5,10,6,8,6,5,8,6,6,6,5,9,4,8,6,10,"R"
"5197",1,0,1,0,0,6,9,7,3,7,5,8,2,7,3,10,"R"
"5198",3,2,4,4,3,7,11,3,6,7,11,8,2,11,1,8,"T"
"5199",1,0,2,1,0,2,1,6,5,0,2,5,0,8,0,8,"L"
"5200",4,8,5,6,3,7,10,1,8,11,9,5,1,10,3,5,"T"
"5201",2,3,3,5,0,7,10,1,3,7,12,8,1,11,0,8,"Y"
"5202",5,11,5,8,3,5,11,2,8,12,10,4,1,11,2,4,"T"
"5203",2,6,3,4,1,6,5,5,8,5,6,11,0,9,8,8,"S"
"5204",6,8,8,6,4,9,9,3,5,10,3,5,5,9,1,7,"N"
"5205",4,7,6,5,5,5,9,2,4,10,8,7,5,10,3,4,"F"
"5206",3,1,4,3,3,8,6,6,4,7,7,8,7,6,2,7,"M"
"5207",9,11,12,8,8,5,7,4,7,10,9,10,3,8,4,6,"H"
"5208",6,9,6,5,3,9,5,4,5,12,3,8,5,7,5,10,"D"
"5209",4,9,6,6,5,9,8,3,4,8,4,6,4,8,5,4,"J"
"5210",4,7,5,5,2,8,7,8,7,7,6,9,3,8,4,8,"O"
"5211",2,4,4,3,2,8,9,3,4,12,4,3,1,10,3,8,"P"
"5212",3,9,5,7,3,4,8,7,7,9,9,14,2,9,4,9,"C"
"5213",3,5,5,3,3,9,7,3,6,10,5,6,2,8,5,9,"B"
"5214",2,1,3,3,1,7,12,3,6,7,11,8,2,11,1,8,"T"
"5215",4,4,4,6,2,1,13,5,4,12,10,7,0,8,2,6,"F"
"5216",1,3,2,4,0,14,3,6,4,13,2,10,0,7,0,8,"J"
"5217",3,7,5,5,3,7,3,2,7,8,2,9,2,5,3,8,"L"
"5218",3,5,6,3,3,7,7,2,8,11,6,9,2,8,4,8,"E"
"5219",4,7,5,5,6,8,8,4,3,8,5,7,3,8,10,8,"S"
"5220",7,12,6,6,3,8,9,7,5,14,4,4,4,10,4,7,"P"
"5221",2,6,4,4,2,8,2,2,2,7,2,8,2,6,3,6,"A"
"5222",5,10,7,8,4,5,13,5,4,13,8,3,2,10,2,5,"F"
"5223",6,9,6,4,3,8,8,4,4,8,6,6,6,10,4,8,"H"
"5224",5,11,7,8,4,8,9,6,10,5,6,6,0,8,9,7,"S"
"5225",3,7,4,5,3,6,7,8,6,7,6,6,2,8,9,10,"B"
"5226",7,11,8,9,5,7,6,7,7,12,6,12,3,11,5,8,"G"
"5227",2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,"Z"
"5228",2,1,2,2,1,8,7,6,5,7,6,7,2,8,8,8,"S"
"5229",3,3,5,4,2,9,8,4,1,7,8,8,8,9,0,8,"W"
"5230",5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8,"Z"
"5231",4,11,6,8,5,7,3,1,2,5,2,7,4,6,4,7,"A"
"5232",7,9,10,8,10,8,8,4,4,8,4,7,8,6,7,6,"R"
"5233",3,8,4,6,2,8,6,13,5,6,13,8,3,9,0,8,"U"
"5234",5,9,6,7,3,8,8,9,8,6,8,9,3,8,4,8,"O"
"5235",5,10,6,8,4,6,8,0,7,13,7,8,0,8,1,7,"I"
"5236",3,5,5,7,4,9,4,3,5,7,3,6,3,8,7,6,"Z"
"5237",6,11,5,6,3,9,10,5,4,7,10,5,4,11,3,6,"V"
"5238",6,10,8,8,6,8,8,5,7,8,3,9,4,5,5,12,"R"
"5239",7,9,9,8,9,8,7,5,4,7,5,7,7,9,6,5,"N"
"5240",4,7,5,5,2,6,8,6,10,6,7,12,1,7,4,8,"C"
"5241",3,8,6,6,6,11,6,1,5,9,5,6,4,10,4,7,"F"
"5242",3,8,6,6,4,10,5,1,4,8,2,6,2,7,4,8,"A"
"5243",3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,"X"
"5244",3,5,5,5,4,9,8,2,4,7,7,7,4,8,4,5,"A"
"5245",3,4,4,5,2,4,13,8,2,11,6,3,1,10,4,8,"P"
"5246",6,9,6,6,6,3,11,2,3,10,10,8,6,11,2,7,"W"
"5247",4,10,6,8,4,6,11,2,3,7,11,9,2,10,1,9,"V"
"5248",3,5,3,6,4,8,9,5,1,6,7,11,2,9,5,9,"Q"
"5249",5,10,5,8,4,6,8,9,7,7,6,7,2,8,9,10,"B"
"5250",5,10,6,8,2,6,7,7,11,7,6,14,1,8,4,9,"C"
"5251",4,8,4,6,2,0,1,5,5,0,1,6,0,8,0,8,"L"
"5252",5,10,6,7,3,7,7,6,9,5,6,8,0,8,9,7,"S"
"5253",2,2,4,3,1,7,12,2,3,7,11,9,2,10,1,8,"V"
"5254",2,4,4,2,1,6,10,2,5,13,7,5,1,9,1,7,"F"
"5255",4,9,4,6,2,3,8,6,10,7,6,14,0,8,7,7,"E"
"5256",6,7,6,5,3,7,10,2,10,11,9,4,1,11,4,5,"T"
"5257",6,7,8,6,7,8,4,5,5,7,4,10,4,5,7,7,"Q"
"5258",1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,"Z"
"5259",1,0,1,0,0,5,7,7,1,7,6,11,2,8,2,11,"K"
"5260",3,4,6,3,3,7,6,3,4,9,7,8,7,5,1,8,"M"
"5261",1,3,2,2,2,7,7,5,6,7,6,8,2,8,5,10,"E"
"5262",6,9,8,8,7,7,6,5,4,6,7,8,7,8,2,7,"U"
"5263",3,8,3,6,2,5,7,10,8,6,6,5,3,8,4,8,"D"
"5264",4,6,4,8,3,3,7,6,11,7,6,15,0,8,7,7,"E"
"5265",9,11,9,9,7,7,11,4,3,8,6,6,11,13,4,4,"W"
"5266",5,11,7,8,9,8,7,6,2,7,8,8,6,8,4,8,"W"
"5267",4,4,5,3,4,6,7,6,6,7,6,10,3,8,3,9,"H"
"5268",3,4,4,5,4,8,7,7,3,6,6,9,2,8,5,9,"Q"
"5269",6,10,8,8,4,8,7,4,8,11,5,7,2,8,5,8,"S"
"5270",3,2,5,4,3,6,6,6,6,6,6,9,2,9,4,9,"G"
"5271",4,10,5,7,4,6,8,6,10,7,7,10,1,9,8,8,"Z"
"5272",8,12,6,6,3,10,1,2,2,10,4,12,3,5,4,8,"A"
"5273",4,9,5,6,3,5,12,8,4,7,3,9,3,7,6,11,"R"
"5274",6,11,8,8,8,7,6,5,5,7,6,8,6,10,8,12,"F"
"5275",0,0,1,0,0,7,10,1,3,7,11,8,1,11,0,8,"Y"
"5276",4,10,6,7,7,6,7,3,6,7,7,11,5,11,6,5,"L"
"5277",5,8,6,6,5,9,11,6,6,6,5,9,3,8,8,5,"Z"
"5278",3,7,5,5,5,8,7,5,6,6,6,6,2,8,5,9,"B"
"5279",3,3,4,2,1,3,12,4,3,11,11,7,2,11,1,8,"V"
"5280",2,4,4,3,2,7,7,2,7,11,6,8,2,8,5,9,"E"
"5281",7,13,5,7,4,9,5,4,5,11,4,9,3,9,7,11,"E"
"5282",3,4,4,3,1,4,11,2,7,11,10,5,1,11,2,5,"Y"
"5283",8,10,6,5,3,10,5,5,5,10,3,9,6,6,6,10,"R"
"5284",1,1,2,1,1,5,11,7,1,9,6,4,1,9,3,8,"P"
"5285",5,8,6,6,8,8,6,5,2,7,6,8,8,9,4,10,"O"
"5286",4,5,5,4,2,3,11,3,6,12,11,6,1,11,2,5,"Y"
"5287",6,10,8,8,4,6,9,3,10,11,9,5,2,8,7,5,"Z"
"5288",3,8,5,6,6,8,7,4,2,6,6,7,6,8,8,7,"H"
"5289",7,10,7,8,4,4,10,2,8,10,11,6,2,10,4,3,"Y"
"5290",6,9,6,6,3,7,10,2,9,11,9,4,3,9,4,4,"T"
"5291",2,4,3,2,2,5,10,4,4,9,8,5,3,10,3,7,"P"
"5292",2,2,4,3,2,6,6,6,6,7,6,11,2,9,4,9,"G"
"5293",7,8,7,6,6,4,12,3,2,9,8,7,6,12,2,6,"W"
"5294",3,2,5,4,3,8,7,3,9,6,6,8,3,8,6,8,"X"
"5295",5,9,8,6,5,10,6,5,8,10,3,5,3,8,4,9,"D"
"5296",4,5,5,7,2,4,8,8,2,7,4,11,3,8,2,11,"K"
"5297",3,9,5,6,3,7,7,3,6,15,5,9,1,7,1,7,"J"
"5298",5,5,6,7,3,7,6,15,0,7,7,8,3,8,0,8,"H"
"5299",2,5,4,7,1,5,14,1,6,9,11,7,0,8,0,8,"T"
"5300",7,9,7,5,4,6,8,2,6,10,4,9,5,6,3,8,"K"
"5301",4,8,6,6,3,5,8,2,8,10,10,9,3,8,3,6,"X"
"5302",2,1,2,1,1,5,10,4,4,10,8,4,0,9,3,7,"P"
"5303",3,6,4,4,3,8,7,7,5,7,6,8,2,8,9,8,"S"
"5304",6,10,7,8,4,4,8,6,8,10,9,9,3,9,2,5,"U"
"5305",3,8,4,6,2,8,7,5,9,5,6,7,0,8,9,8,"S"
"5306",7,8,10,6,7,11,6,2,5,9,3,6,9,8,2,9,"M"
"5307",4,7,4,8,5,8,7,6,4,8,7,9,3,8,6,8,"Q"
"5308",6,14,6,8,5,8,6,4,6,9,5,7,5,9,7,6,"D"
"5309",1,3,2,2,1,5,8,4,5,12,8,10,1,10,2,8,"C"
"5310",4,2,5,4,3,7,8,5,5,7,7,7,5,9,2,6,"N"
"5311",5,9,7,7,4,6,8,1,8,10,8,9,3,8,3,6,"X"
"5312",7,10,9,8,5,9,8,3,7,13,3,3,2,10,4,9,"P"
"5313",2,3,4,1,2,6,8,1,6,10,6,9,3,8,2,8,"K"
"5314",3,6,4,4,2,9,11,2,9,5,11,8,1,10,1,8,"T"
"5315",6,7,8,6,6,5,7,6,8,7,6,7,4,7,5,5,"D"
"5316",8,10,8,8,5,3,8,5,7,10,10,9,3,9,2,6,"U"
"5317",3,5,5,3,2,8,12,3,7,6,11,7,2,11,1,7,"T"
"5318",1,10,2,8,3,7,7,0,7,7,6,8,0,8,3,8,"I"
"5319",3,9,5,6,5,7,8,7,5,8,7,5,3,8,3,7,"D"
"5320",2,4,3,5,1,7,14,0,6,7,11,8,0,8,0,8,"T"
"5321",3,4,5,3,3,9,6,3,4,9,5,7,6,5,1,8,"M"
"5322",3,8,4,5,2,7,8,15,1,7,5,8,3,8,0,8,"H"
"5323",5,11,7,8,5,8,7,2,9,12,6,7,1,7,6,7,"Z"
"5324",8,10,11,8,7,9,7,3,6,10,4,7,3,8,4,8,"H"
"5325",1,5,3,4,1,7,7,0,8,13,6,8,0,8,1,7,"I"
"5326",4,10,5,7,4,9,4,3,1,8,2,8,2,7,2,8,"A"
"5327",3,4,4,3,2,6,7,5,5,9,7,10,2,9,4,9,"G"
"5328",3,7,4,5,2,5,4,1,9,7,2,10,0,7,2,7,"L"
"5329",3,5,4,3,2,8,7,8,5,7,7,8,2,8,3,8,"O"
"5330",6,10,8,8,9,7,7,6,2,7,6,11,7,9,10,7,"G"
"5331",3,6,4,4,3,9,10,2,2,6,9,8,6,11,1,8,"W"
"5332",2,9,3,7,2,10,7,0,7,10,4,6,0,7,1,7,"J"
"5333",10,12,8,6,4,4,8,4,6,3,2,12,6,11,2,7,"N"
"5334",3,7,3,5,2,1,11,3,4,11,11,8,0,8,1,7,"F"
"5335",3,2,3,3,2,8,8,6,5,7,6,7,2,8,9,8,"S"
"5336",4,10,6,7,3,7,5,7,10,5,4,10,1,9,6,11,"G"
"5337",5,9,7,7,5,9,7,3,6,10,5,7,3,8,3,9,"H"
"5338",5,9,7,6,7,8,7,4,4,7,6,7,4,8,6,8,"B"
"5339",5,7,7,5,4,5,8,5,1,8,10,9,8,11,0,8,"W"
"5340",4,5,5,4,2,4,8,5,7,10,9,9,3,9,2,5,"U"
"5341",8,15,6,9,3,8,4,4,5,8,2,8,4,6,6,9,"S"
"5342",5,9,5,5,3,10,4,3,3,12,7,11,3,10,4,10,"L"
"5343",4,9,6,6,3,6,8,4,2,7,8,8,8,10,0,8,"W"
"5344",7,9,6,4,3,4,9,4,7,3,3,11,5,9,2,8,"N"
"5345",2,1,2,2,1,7,7,7,4,7,6,8,2,8,2,7,"O"
"5346",7,11,9,8,10,7,10,5,3,8,7,7,11,11,7,10,"O"
"5347",7,14,7,8,4,6,5,4,5,12,9,11,3,9,7,8,"L"
"5348",3,7,4,5,5,8,8,5,3,8,5,8,4,9,10,6,"S"
"5349",6,9,9,7,6,10,6,3,7,11,3,7,6,8,7,11,"B"
"5350",2,6,2,4,1,7,8,14,1,7,5,8,3,8,0,8,"H"
"5351",3,1,4,2,2,7,7,6,6,6,6,9,2,9,4,9,"G"
"5352",2,1,3,2,1,4,3,5,6,2,3,4,1,7,0,6,"L"
"5353",1,2,2,3,1,8,6,6,3,8,6,9,2,9,3,8,"Q"
"5354",4,5,5,7,4,8,7,12,2,6,9,8,8,6,0,8,"M"
"5355",2,4,3,3,1,8,6,2,9,11,5,8,1,8,5,8,"Z"
"5356",5,11,6,8,5,6,9,5,6,6,9,9,3,8,1,8,"U"
"5357",3,5,4,4,5,8,8,5,4,7,6,8,6,8,7,4,"V"
"5358",1,0,1,1,0,8,13,1,5,6,10,8,0,8,0,8,"T"
"5359",4,10,6,7,7,7,8,5,5,6,7,9,6,8,8,6,"T"
"5360",1,1,2,1,1,6,7,4,7,6,6,10,3,8,4,9,"K"
"5361",2,4,3,3,2,7,7,7,4,9,6,8,2,8,3,8,"O"
"5362",6,11,9,8,6,7,6,2,7,10,5,9,4,7,5,9,"K"
"5363",3,6,5,4,3,6,9,5,7,7,9,9,3,9,1,8,"U"
"5364",3,7,5,5,2,5,4,2,10,6,1,9,0,7,3,6,"L"
"5365",10,15,8,8,5,9,7,7,5,10,2,9,7,5,6,10,"R"
"5366",6,7,9,5,6,9,6,2,5,9,5,7,8,4,2,8,"M"
"5367",2,2,4,3,2,6,2,2,2,5,2,8,2,6,2,6,"A"
"5368",12,15,11,8,6,8,7,4,5,9,7,7,7,10,5,9,"H"
"5369",5,9,6,7,3,10,6,1,7,14,3,7,0,7,0,8,"J"
"5370",8,13,8,8,5,6,9,4,5,9,8,9,6,8,6,8,"H"
"5371",7,11,11,8,8,7,6,3,5,9,8,9,8,6,2,8,"M"
"5372",4,10,4,7,2,1,12,5,5,12,11,8,0,8,2,6,"F"
"5373",4,8,5,6,4,7,9,7,7,8,4,6,2,7,9,9,"S"
"5374",8,7,6,10,4,9,7,6,6,4,10,7,5,10,3,7,"Y"
"5375",5,6,8,4,5,8,6,2,5,9,6,8,7,5,2,8,"M"
"5376",2,5,3,4,2,8,7,7,4,9,4,8,2,8,2,8,"O"
"5377",2,1,2,2,1,7,7,6,5,6,6,9,2,9,4,9,"G"
"5378",1,4,3,3,1,6,5,1,6,8,3,10,1,7,2,9,"L"
"5379",4,5,5,4,3,6,6,6,6,6,6,9,2,9,4,8,"G"
"5380",2,3,3,4,1,7,7,4,4,7,6,8,3,8,4,8,"X"
"5381",2,7,3,5,2,7,4,2,0,7,2,8,1,6,1,8,"A"
"5382",4,6,5,8,2,8,7,6,9,4,6,7,0,8,9,8,"S"
"5383",4,8,5,6,4,6,11,3,6,8,11,8,2,12,1,7,"T"
"5384",9,13,8,7,4,8,6,4,10,13,5,7,2,9,6,6,"T"
"5385",7,11,10,8,5,10,7,2,9,11,1,6,4,9,4,10,"X"
"5386",2,4,3,3,1,4,9,4,7,11,9,12,1,9,2,7,"C"
"5387",4,6,5,4,3,7,8,2,9,11,8,6,1,8,6,6,"Z"
"5388",4,11,5,9,6,7,7,5,10,7,5,9,3,10,9,8,"Z"
"5389",2,7,4,4,1,9,14,1,6,5,11,9,0,8,0,8,"T"
"5390",3,2,5,4,2,6,12,3,4,8,12,8,3,10,1,8,"V"
"5391",3,4,6,3,2,9,6,2,8,10,3,7,2,7,3,9,"X"
"5392",3,3,3,5,1,0,1,6,6,0,1,5,0,8,0,8,"L"
"5393",4,9,4,6,3,6,11,9,3,7,2,9,3,7,5,10,"R"
"5394",7,11,10,8,8,9,7,3,6,10,4,7,6,8,5,8,"H"
"5395",5,8,7,9,7,9,7,7,2,5,8,9,5,9,7,11,"Q"
"5396",8,12,7,6,3,7,9,6,4,13,4,5,4,10,4,8,"P"
"5397",2,7,4,5,2,7,7,3,5,15,6,9,1,6,1,7,"J"
"5398",6,11,5,6,3,8,10,5,5,7,10,5,5,12,3,7,"V"
"5399",3,3,4,5,4,8,7,6,2,5,7,9,3,9,5,10,"Q"
"5400",4,5,6,4,5,10,8,5,5,6,8,9,4,11,6,10,"S"
"5401",3,5,5,7,1,9,10,3,2,6,13,8,2,11,0,8,"Y"
"5402",3,10,4,7,4,3,4,4,7,2,0,8,0,6,1,6,"L"
"5403",5,11,6,8,4,3,4,4,9,2,0,7,0,7,1,5,"L"
"5404",5,8,7,7,6,9,7,3,4,7,7,6,5,10,4,6,"A"
"5405",8,13,8,7,5,7,6,2,8,11,4,8,4,5,4,7,"X"
"5406",4,11,4,8,2,0,13,5,4,12,11,6,0,8,2,5,"F"
"5407",4,10,5,8,6,7,5,11,1,7,9,8,8,6,1,9,"M"
"5408",2,9,3,7,3,8,7,0,7,7,6,8,0,8,3,7,"I"
"5409",3,4,6,3,3,8,8,3,6,10,6,7,3,8,3,8,"H"
"5410",6,9,8,8,7,7,7,4,6,7,7,8,3,8,9,10,"L"
"5411",2,1,3,3,2,7,7,5,7,7,6,9,2,8,5,10,"E"
"5412",4,10,6,7,2,9,8,4,3,6,14,8,3,10,0,8,"V"
"5413",4,9,5,6,2,7,6,8,8,6,5,10,2,8,5,11,"G"
"5414",4,7,6,9,7,6,8,5,2,8,7,6,9,12,7,8,"P"
"5415",5,9,7,8,8,7,9,5,2,7,7,8,6,11,7,9,"G"
"5416",3,8,5,6,3,5,4,3,0,5,2,7,2,7,2,7,"A"
"5417",5,10,6,8,3,8,8,6,10,5,6,6,0,8,9,7,"S"
"5418",11,15,10,8,5,11,6,3,9,10,4,7,4,11,4,11,"X"
"5419",2,9,3,6,2,6,8,0,7,14,7,8,0,8,1,7,"I"
"5420",3,6,5,4,3,7,7,7,8,6,5,4,3,8,3,7,"D"
"5421",2,2,3,4,2,4,4,4,7,2,1,6,0,7,1,6,"L"
"5422",4,3,4,2,2,4,11,3,2,9,9,7,6,11,1,6,"W"
"5423",3,2,6,4,3,8,1,2,2,7,2,8,2,7,3,7,"A"
"5424",5,9,6,7,5,7,9,5,6,9,8,4,5,10,5,7,"P"
"5425",4,6,6,6,5,7,8,2,4,7,7,9,5,7,3,7,"A"
"5426",9,13,9,7,5,10,6,2,6,11,4,7,6,11,3,9,"K"
"5427",3,7,5,5,3,5,10,6,4,7,7,9,5,9,1,8,"N"
"5428",4,4,5,6,1,7,7,4,4,7,6,8,3,8,4,8,"X"
"5429",5,10,7,8,6,7,7,7,6,5,10,10,5,6,9,7,"T"
"5430",5,10,6,8,4,5,11,8,3,7,4,8,3,8,6,11,"R"
"5431",6,10,9,8,5,7,12,7,3,11,4,2,2,11,4,8,"P"
"5432",2,5,4,4,2,7,3,1,8,9,2,10,0,7,2,8,"L"
"5433",5,9,8,7,5,4,8,1,8,10,11,10,3,9,3,5,"X"
"5434",7,11,9,8,10,8,7,6,3,6,8,8,6,8,5,7,"W"
"5435",5,11,8,8,6,8,9,3,5,13,5,4,4,10,4,8,"P"
"5436",3,7,4,5,3,6,7,8,6,7,6,7,2,8,9,10,"B"
"5437",2,1,3,2,1,6,7,6,7,8,7,13,1,9,4,10,"C"
"5438",5,8,8,6,7,7,6,5,5,7,7,11,14,6,2,10,"M"
"5439",8,13,6,7,3,9,1,2,5,8,2,8,3,7,5,11,"S"
"5440",7,10,9,8,9,9,7,6,5,6,7,6,11,8,4,5,"M"
"5441",3,7,5,5,6,8,7,4,3,6,6,7,7,8,8,8,"H"
"5442",4,10,4,7,4,4,11,8,2,9,6,4,1,10,3,8,"P"
"5443",6,6,6,4,4,5,11,3,2,9,7,7,7,12,2,6,"W"
"5444",3,5,4,7,2,7,7,4,13,10,6,8,0,8,8,8,"Z"
"5445",5,10,7,8,10,9,6,4,4,6,6,7,8,7,7,6,"H"
"5446",4,9,6,7,4,7,9,5,7,5,9,9,3,9,1,8,"U"
"5447",5,10,5,7,3,3,8,6,11,7,6,15,0,8,7,7,"E"
"5448",2,3,3,4,2,8,7,5,3,8,7,9,2,9,3,8,"Q"
"5449",3,5,4,4,3,8,7,7,4,9,5,8,2,8,2,8,"O"
"5450",3,7,4,5,3,7,8,3,7,10,5,7,2,7,5,8,"S"
"5451",4,5,6,4,6,6,8,5,3,6,5,8,9,7,4,8,"M"
"5452",3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,"N"
"5453",2,3,3,2,2,8,7,1,7,11,5,8,2,8,4,10,"E"
